,sentence,sentiment,polarity,Sentiment_Type
0,"20 Proyek Terindikasi Korupsi, Kementerian PUPR Bentuk Balai Khusus Pengadaan Barang dan Jasa Kementerian Pekerjaan Umum dan Perumahan Rakyat (Kementerian PUPR) membentuk balai khusus untuk mengurus pengadaan barang dan jasa di Kementerian PUPR",0.12285714285714286,0.2752380952380952,Positive
1,"KPK Periksa 6 Saksi Kasus Korupsi Penyediaan Air Minum di Kementerian PUPR ""Penyidik hari ini dijadwalkan memeriksa enam orang saksi untuk tiga tersangka berbeda,"" kata Febri Diansyah",0.0,0.6,Neutral
2,KPK Temukan Bukti Baru dalam Kasus Suap Proyek SPAM di Kementerian PUPR KPK terus mendalami dugaan suap terkait proyek Sistem Penyediaan Air Minum (SPAM) di Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),0.007272727272727269,0.2175757575757576,Positive
3,KPK Periksa Direktur Pengembangan SPAM Kementerian PUPR Terkait Korupsi Penyediaan Air Minum Agus Ahyar bakal dimintai keterangan terkait kasus dugaan suap proyek pembangunan SPAM Kementerian Pekerjaan Umum dan Perumahan Rakyat,-0.03333333333333333,0.07777777777777778,Negative
4,"KPK Memperpanjang Masa Penahanan Tersangka Suap Proyek Penyediaan Air Minum PUPR 2 proyek lainnya adalah pengadaan pipa HDPE di Bekasi daerah bencana di Donggala, Palu, Sulawesi Tengah (Sulteng).",-0.041666666666666664,0.2916666666666667,Negative
5,Suap Berjamaah Proyek Air Minum Kementerian PUPR: Inspektur Jenderal Jalani Pemeriksaan di KPK KPK menetapkan delapan orang tersangka. Empat di antaranya adalah petinggi perusahaan yang diduga kuat sebagai pihak pemberi suap.,0.05000000000000002,0.5,Positive
6,KPK Dalami Aliran Duit Suap Proyek Penyediaan Air Minum Kementerian PUPR Tim penyidik KPK juga mendalami komitmen fee dan pihak-pihak yang diduga menerima suap tersebut.,0.0,0.0,Neutral
7,"Kasus Korupsi SPAM Kementerian PUPR, KPK Periksa Staf Keuangan PT WKE Komisi Pemberantasan Korupsi (KPK) bakal memeriksa Staf Keuangan PT Wijaya Kusuma Emindo (WKE) Yohanes Herman Susanto.",0.0,0.0,Neutral
8,KPK Periksa Bendahara Satker Satuan Tanggap Darurat Ditjen Cipta Karya untuk Kasus Korupsi SPAM PUPR Ia bakal bersaksi kasus korupsi proyek-proyek pembangunan Sistem Penyediaan Air Minum (SPAM) di Kementerian PUPR Tahun Anggaran 2017-2018.,0.02500000000000001,0.3,Positive
9,"Ketua DPR Ingatkan Kementerian PUPR: Jalan Menuju Makam Cut Meutia Rusak dan Belumpur Tak hanya di bidang infrastruktur, Ketua Badan Bela Negara FKPPI ini juga menerima pengaduan pengembangan di bidang pertanian.",-0.2,0.7,Negative
10,"Kawasan Dermaga Tawiri Ditata Ulang untuk Akomodir Kebutuhan Sandar Kapal Perang TNI AL Pembangunan pengaman Pantai Wainitu di Kecamatan Nusaniwe, Kota Ambon dilakukan untuk mencegah abrasi dan erosi.",0.0,0.0,Neutral
11,"Direktur Utama PT WKE Naik Kursi Roda Ketika Hendak Diperiksa KPK Dengan didorong oleh petugas keamanan tersebut, kursi roda berkelir abu-abu terus menuju pintu masuk gedung KPK.",0.2,0.1,Positive
12,KPK Bidik Pejabat PPK Lain Terkait Suap SPAM PUPR Febri mengaku hingga kini belum mendapatkan informasi soal adanya upaya pencekalan terhadap saksi yang diperiksa KPK dalam kasus suap tersebut.,-0.125,0.375,Negative
13,"Kasus Korupsi Proyek Air Minum Kementerian PUPR, KPK Sita Deposito Rp 1 Miliar dari Rumah Tersangka Selain deposito, penyidik KPK juga menyita uang sekitar Rp 200 juta serta sejumlah dokumen proyek yang berkaitan dengan kasus yang ditangani..",0.0,0.0,Neutral
14,KPK Sita Deposito Bernilai Rp 1 Miliar Dari Rumah Tersangka Korupsi Proyek SPAM Kementerian PUPR Komisi Pemberantasan Korupsi (KPK) menyita deposito bernilai Rp 1 miliar dari rumah seorang tersangka kasus suap proyek pembangunan SPAM.,0.0,0.0,Neutral
15,KPK Geledah Tiga Rumah Tersangka Kasus Suap Proyek SPAM Kementerian PUPR KPK menggeledah tiga rumah tersangka kasus suap proyek-proyek pembangunan Sistem Penyediaan Air Minum (SPAM) di Kementerian PUPR,0.0,0.0,Neutral
16,"Korupsi Proyek Air Minum Korban Tsunami di Kementerian PUPR, KPK Sita Dokumen PT WKE Penggeledahan di PT WKE terkait penyidikan kasus dugaan suap proyek pembangunan sistem penyediaan air minum (SPAM) di Kementerian PUPR",-0.1,0.1,Negative
17,"Penyidik KPK Bawa 3 Kotak Kontainer Plastik dan 4 Koper dari Satker Tanggap Darurat PSPAM PUPR Ketika keluar, sejumlah penyidik bermasker penutup wajah dengan kalung identitas KPK membawa barang-barang tersebut ke dalam mobil.",0.0,0.0,Neutral
18,KPK Amankan CCTV dan Uang Rp 800 Juta dari Kantor Satker Tanggap Darurat PSPAM PUPR dan PT WKE Sejumlah petugas kepolisian berseragam juga masih tampak mengamankan jalannya penggeledahan tersebut di sekitar kantor Satker Tanggap,0.4,0.6,Positive
19,"KPK Geledah Kantor Satker Tanggap Darurat Kementerian PUPR dan PT Wijaya Kusuma Emindo Enam mobil penyidik Komisi Pemberantasan Korupsi (KPK) tampak terparkir di komplek Wisma Sanita, Bendungan Hilir, Jakarta Pusat, Senin (31/12/2018) .",-0.15,0.325,Negative
20,"Mobil Penyidik Terparkir di Wisma Sanita, KPK Geledah Kantor Satker Tanggap Darurat PUPR Juru bicara KPK Febri Diansyah membenarkan penggeledahan tersebut terkait dengan kasus dugaan penerimaan hadiah dan janji oleh pejabat Kementerian",0.07500000000000001,0.3916666666666667,Positive
21,"Komentari Pelaku Korupsi Dana Bencana, Iwan Fals: Sudahlah Hukum Mati Saja, Tega Banget Iwan Fals bersuara keras terkait operasi tangkap tangan (OTT) terhadap pejabat Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) dan sejumlah ko",-0.025000000000000005,0.388888888888889,Negative
22,"KPK Kecam Keras Proyek Air Minum Korban Tsunami Palu Jadi Bancakan Korupsi Pejabat PUPR Anggiat, Meina, Nazar, dan Donny diduga menerima suap untuk mengatur lelang proyek pembangunan SPAM Tahun Anggaran 2017-2018",-0.2916666666666667,0.5416666666666666,Negative
23,KPK Sita Satu Mobil CRV di Rumah Tersangka Korupsi Proyek SPAM PUPR KPK menyita satu unit mobil CRV dari rumah satu tersangka kasus korupsi proyek sistem penyediaan air minum (SPAM).,0.0,0.0,Neutral
